Entitlement_Type,Calendar_Year,Total Original Medicare Part A Enrollees,Total Persons With Utilization,Total Discharges,"Discharges Per 1,000 Original Medicare Part A Enrollees","Discharges Per 1,000 Persons With Utilization",Total Days of Care,"Total Days of Care Per 1,000 Original Medicare Part A Enrollees",Total Days of Care Per Person With Utilization,Total Days of Care Per Discharge,Covered Days of Care,"Covered Days of Care Per 1,000 Original Medicare Part A Enrollees",Covered Days of Care Per Person With Utilization,Covered Days of Care Per Discharge,Total Program Payments,Program Payments Per Original Medicare Part A Enrollee,Program Payments Per Person With Utilization,Program Payments Per Discharge,Program Payments Per Covered Day,Persons With Coinsurance¹,Total Coinsurance Days,Coinsurance Days Per Person With Coinsurance¹,Total Coinsurance Payments,Coinsurance Payments Per Person With Coinsurance¹,Total Deductible Payments,Total Lifetime Reserve Days,Persons with Lifetime Reserve Days²,Discharged Dead
All Beneficiaries,2020,37464936.500011,5390626,8776484,234.2586113818029,1628.101077685597,54273844,1448.657039629149,10.06818948300253,6.184007627655904,50700199,1353.270650811996,9.405252562503872,5.776823497883663,130157470740.4495,3474.114275901982,24145.14951333101,14830.25215341924,2567.198419486469,83294,1418351,17.0282493336855,976795506.2600001,11727.08125747353,8251221263.470011,681687,25211,375042
All Beneficiaries,2021,36051507.33335121,5148864,8349295,231.5935065571052,1621.580022311718,53089632,1472.605056679193,10.31094082112093,6.358576622337575,49473995,1372.314187657603,9.608720486693764,5.925529640526536,131317482538.0299,3642.496312950228,25504.16607197818,15727.97254594907,2654.272866746053,79221,1363643,17.21315055351485,975789694.86,12317.31100162836,8296339183.739999,637304,23538,373254
All Beneficiaries,2022,34960747.91669284,4930876,8040320,229.9813499173156,1630.606813069321,51011980,1459.121530281768,10.34541935347796,6.344521113587519,47471538,1357.852472524868,9.627404542316619,5.904185156809679,127737300953.8614,3653.734790177934,25905.5999286661,15887.09167717968,2690.818674420478,79094,1378077,17.42328115912711,1051976145.85,13300.32803815713,8336369117.189999,667325,24111,316914
All Beneficiaries,2023,34059183.833364,4823647,7959838,233.7060699676141,1650.170089146241,48488471,1423.653345224944,10.05224283617769,6.091640432883182,45078796,1323.543048493173,9.34537622674296,5.663280584353601,126947063923.5705,3727.249147973256,26317.65216724409,15948.4481874594,2816.114785398671,72553,1239870,17.08916240541397,963225032.16,13276.1571838518,8401196507.050003,586728,21629,264306
Disabled Beneficiaries,2017,6195502,1161574,2268945,366,1953,15832330,2555,13.63,6.98,13732454,2217,11.82,6.05,27472699082,4434,23651,12108,2001,36986,667734,18.05,443990520,12004,1794472622,342279,12528,42320
Disabled Beneficiaries,2018,5919319.499999559,1103043,2155895,364.2133187776332,1954.497694106214,15158383,2560.832034831221,13.74233189458616,7.031132313957777,13064155,2207.036636559485,11.84374045254809,6.05973621164296,27139218793.05995,4584.854524757782,24603.95360204448,12588.37688897648,2077.380342858758,35060,631173,18.00265259555049,433009288.08,12350.52162236166,1726791179.410001,331894,12005,40998
Disabled Beneficiaries,2019,5530717.749999765,1020631,2007702,363.009303810538,1967.118380688025,14214291,2570.062628851491,13.92696380964325,7.079880878735988,12189101,2203.891348460246,11.94271093078694,6.071170422702174,26375517048.25009,4768.913953030998,25842.36325199811,13137.16729288016,2163.860734950846,33425,606216,18.13660433807031,423609038.45,12673.41925056096,1623133944.150002,318981,11628,38242
Disabled Beneficiaries,2020,5023200.500000085,840695,1625164,323.5315811104838,1933.119621265738,12083544,2405.546822190314,14.37327925109582,7.435276685922159,10344152,2059.275157342381,12.30428633452084,6.364989625662394,23895709789.49022,4757.068683499657,28423.75628437212,14703.56824879841,2310.069475921296,29421,527876,17.94215016484824,382580503.46,13003.65397029333,1349302227.329999,280937,10232,43545
Disabled Beneficiaries,2021,4462121.33333377,737266,1397847,313.2696077889104,1895.987336999129,10952252,2454.494439266464,14.85522457294925,7.835086386421404,9238322,2070.38789622016,12.53051408853792,6.608965072715398,22156475604.86988,4965.457895407829,30052.21399721386,15850.42970001,2398.322509744722,26098,475948,18.23695302322017,358080245.82,13720.60103532838,1237643563.63,246163,8968,42012
Disabled Beneficiaries,2022,3958244.916667135,631945,1200996,303.4162931512701,1900.47551606548,9661311,2440.806772546778,15.28821495541542,8.044415635022931,8070059,2038.797287661279,12.77019202620481,6.719472004902597,19397296693.06004,4900.479152106807,30694.59635420811,16151.00857376714,2403.612748439639,24524,452202,18.43916163757951,366861683.54,14959.29226635133,1109011773.669999,247142,8729,31455
Disabled Beneficiaries,2023,3532945.333333682,561847,1074159,304.040651256391,1911.835428506337,8394745,2376.132152624827,14.94133634245622,7.81517913083631,6964984,1971.438373043788,12.39658483537333,6.484127582601831,17361118555.85995,4914.063739412018,30900.08232821382,16162.52208086508,2492.62863430267,20930,382073,18.25480172001911,311105784.22,14864.10818060201,1011424216.68,198712,7299,23733
